#/Date,Time,Latitude,Longitude,"Max Winds
3-9/14/1910,2200Z,26.9N,97.4W,90,2,---,-965,1012,250,ATX2,---------------,,
5-10/17/1910*,1900Z,24.6N,82.6W,90,2,---,941,1009,450,BFL2,---------------,,
5-10/18/1910,0600Z,26.5N,82.0W,95,2,30,955,1009,450,BFL2,---------------,,
2-8/11/1911,2200Z,30.3N,87.5W,70,1,---,-982,1013,250,"AFL1,AL1",---------------,,
3-8/28/1911,1000Z,32.2N,80.7W,85,2,25,972,1014,225,"GA1,SC2",---------------,,
4-9/14/1912,0800Z,30.3N,88.4W,65,1,50,-986,1007,150,"AL1,AFL1",---------------,,
6-10/16/1912,1800Z,27.1N,97.4W,85,2,---,-970,1012,250,ATX2,---------------,,
1-6/28/1913,0100Z,27.1N,97.4W,65,1,---,-986,1009,200,ATX1,---------------,,
4-9/3/1913,0800Z,34.7N,76.6W,75,1,40,976,1016,200,NC1,---------------,,
5-10/8/1913,1400Z,33.1N,79.4W,65,1,---,-989,1012,150,SC1,---------------,,
1-8/1/1915,1800Z,28.7N,80.8W,65,1,15,990,1015,175,DFL1,---------------,,
2-8/17/1915,0700Z,29.2N,95.1W,115,4,25,940,1009,325,"CTX4,BTX1,LA1","""Galveston""",,
4-9/4/1915,1100Z,30.0N,85.4W,80,1,25,982,1012,225,AFL1,---------------,,
6-9/29/1915,1800Z,29.0N,90.3W,110,3,20,944,1009,300,"LA3,MS2","""New Orleans""",,
2-7/5/1916,2100Z,30.4N,88.4W,105,3,20,950,1008,250,"MS3,AL2,AFL2",---------------,,
4-7/14/1916,0800Z,32.9N,79.5W,95,2,20,960,1013,175,SC2,---------------,,
6-8/18/1916,2200Z,27.0N,97.4W,115,4,25,932,1012,250,ATX4,---------------,,
14-10/18/1916,1400Z,30.4N,87.4W,95,2,20,970,1010,325,"AL2,AFL2",---------------,,
4-9/29/1917,0200Z,30.4N,86.6W,100,3,40,949,1011,250,"AFL3,LA2,AL1",---------------,,
1-8/6/1918,1800Z,29.8N,93.2W,105,3,10,-955,1012,150,"LA3,CTX1",---------------,,
3-8/24/1918,2100Z,34.8N,76.8W,65,1,30,-988,1017,225,NC1,---------------,,
2-9/10/1919,0700Z,24.6N,82.9W,130,4,15,927,1009,275,"BFL4,CFL2",---------------,,
2-9/14/1919,2100Z,27.2N,97.3W,100,3,35,950,1006,250,"ATX3,BTX3",---------------,,
2-9/22/1920,0100Z,29.1N,90.8W,85,2,30,975,1009,250,LA2,---------------,,
1-6/22/1921,1800Z,28.5N,95.9W,80,1,15,980,1011,225,"BTX1,CTX1",---------------,,
6-10/25/1921,2000Z,28.1N,82.8W,100,3,20,958,1009,375,"BFL3,AFL2,DFL1","""Tampa Bay""",,
6-10/16/1923,0600Z,29.2N,91.0W,70,1,45,983,1001,250,"LA1,MS1",---------------,,
3-8/26/1924*,0400Z,35.5N,74.8W,65,1,35,963,1009,275,NC1,---------------,,
3-8/26/1924*,1900Z,41.2N,70.2W,65,1,40,968,1009,275,MA1,---------------,,
5-9/15/1924,1400Z,29.7N,85.3W,75,1,---,980,1011,150,AFL1,---------------,,
10-10/21/1924,0100Z,25.8N,81.8W,80,1,20,975,1008,375,"BFL1,CFL1",---------------,,
1-7/28/1926,1000Z,29.0N,80.8W,90,2,15,967,1014,300,"DFL2,CFL1",---------------,,
3-8/25/1926,2300Z,29.2N,90.9W,100,3,20,955,1012,275,LA3,---------------,,
7-9/18/1926,1200Z,25.6N,80.3W,125,4,20,930,1008,325,"CFL4,BFL3","""Great Miami""",,
7-9/20/1926,2200Z,30.3N,87.5W,100,3,15,955,1008,225,"AFL3,AL3,MS1",---------------,,
10-10/21/1926*,0300Z,25.0N,80.3W,75,1,20,949,1009,300,"BFL1,CFL1",---------------,,
1-8/8/1928,0700Z,27.3N,80.2W,85,2,10,977,1014,150,CFL2,---------------,,
4-9/17/1928,0000Z,26.7N,80.0W,125,4,30,929,1009,275,"CFL4,BFL3,AFL1,DFL1","""Lake Okeechobee""",,
4-9/18/1928,1900Z,32.5N,80.3W,75,1,35,976,1008,350,"GA1,SC1",---------------,,
1-6/28/1929,2100Z,28.3N,96.4W,80,1,10,982,1007,150,BTX1,---------------,,
2-9/28/1929,1300Z,25.0N,80.5W,100,3,30,948,1008,300,"BFL3, CFL3",---------------,,
2-10/1/1929,0400Z,30.2N,85.7W,70,1,---,975,1011,400,AFL1,---------------,,
2-8/14/1932,0400Z,29.0N,95.2W,130,4,10,935,1011,200,"CTX4,BTX1","""Freeport""",,
3-9/01/1932,0500Z,30.2N,88.1W,75,1,---,979,1009,200,"AFL1,AL1,MS1",---------------,,
5-7/30/1933,1600Z,27.1N,80.1W,65,1,---,988,1018,150,CFL1,---------------,,
5-8/5/1933#,0100Z,25.8N,97.2W,80,1,25,975,1010,200,ATX,---------------,,
6-8/23/1933,1000Z,35.8N,75.6W,80,1,40,963,1008,300,"NC1,VA1,MD1",---------------,,
8-9/5/1933,0400Z,26.1N,97.2W,110,3,20,-940,1010,225,ATX3,---------------,,
11-9/4/1933,0500Z,26.9N,80.1W,110,3,15,948,1013,175,CF3,---------------,,
12-9/16/1933*,1200Z,35.2N,75.4W,85,1,40,952,1013,275,"NC2,VA1",---------------,,
1-6/16/1934,1900Z,29.7N,91.7W,85,1,30,966,1004,275,LA2,---------------,,
3-7/25/1934,1700Z,28.1N,96.8W,75,1,25,-979,1009,225,ATX1,---------------,,
7-9/8/1934*,1000Z,35.3N,75.3W,65,1,---,-975,1014,200,NC1,---------------,,
7-9/8/1934*,2200Z,39.7N,73.4W,65,1,---,-984,1017,200,NJ1,---------------,,
7-9/9/1934,0200Z,40.7N,73.0W,65,1,---,-989,1018,200,NY1,---------------,,
3-9/3/1935,0200Z,24.8N,80.8W,160,5,5,892,1010,300,"CFL5, BFL5","""Labor Day""",,
3-9/4/1935,2200Z,29.6N,83.4W,85,2,20,-965,1012,350,"AFL2, IGA1","""Labor Day""",,
7-11/4/1935,1800Z,25.9N,80.1W,85,2,10,973,1012,225,"CFL2, BFL1",---------------,,
3-6/27/1936,1600Z,27.9N,97.0W,70,1,5,987,1013,150,BTX1,---------------,,
5-7/31/1936,1400Z,30.4N,86.6W,90,2,20,964,1013,200,"AFL2, I-AL1",---------------,,
13-9/18/1936*,1000Z,35.6N,74.8W,75,1,35,964,1016,325,"NC1, VA1",---------------,,
3-8/15/1938,0100Z,29.8N,93.4W,65,1,---,-995,1010,100,LA1,---------------,,
6-9/21/1938,2000Z,40.7N,72.9W,105,3,40,941,1011,350,NY3,"""Great New England""",,
6-9/21/1938,2100Z,41.3N,72.9W,100,3,40,946,1011,350,"CT3, RI3, MA2","""Great New England""",,
2-8/11/1939,2300Z,27.2N,80.2W,65,1,---,-987,1012,100,CFL1,---------------,,
2-8/13/1939,0600Z,30.4N,86.4W,65,1,---,985,1015,200,AFL1,---------------,,
2-8/7/1940,2100Z,29.7N,94.1W,85,2,10,972,1011,225,"CTX2, LA2",---------------,,
3-8/11/1940,2000Z,32.1N,80.8W,85,2,25,972,1014,225,"SC2, GA1",---------------,,
2-9/23/1941,2200Z,28.8N,95.6W,110,3,20,942,1007,250,"CTX3,BTX2",---------------,,
5-10/6/1941,1000Z,25.5N,80.2W,85,2,10,980,1015,125,"CFL2,BFL1",---------------,,
5-10/6/1941,1100Z,25.5N,80.3W,85,2,10,980,1015,125,"CFL2,BFL1",---------------,,
5-10/7/1941,0900Z,29.9N,84.6W,80,1,20,982,1015,125,"AFL1,IGA1",---------------,,
2-8/21/1942,1300Z,29.5N,94.6W,65,1,---,992,1010,100,CTX1,---------------,,
3-8/30/1942,0900Z,28.3N,96.6W,100,3,20,950,1007,250,"BTX3,CTX2",---------------,,
1-7/27/1943,1800Z,29.5N,94.6W,90,2,15,967,1013,250,CTX2,---------------,,
3-8/1/1944,2300Z,33.9N,78.1W,70,1,10,985,1014,175,NC1,---------------,,
7-9/14/1944*,1300Z,35.2N,75.3W,90,2,15,940,1010,300,"NC2,VA2",Great Atlantic,,
7-9/15/1944,0200Z,40.9N,72.2W,90,2,30,954,1009,300,"NY2, NJ1",Great Atlantic,,
7-9/15/1944,0400Z,41.4N,71.6W,85,2,30,957,1009,300,"RI2,CT1,MA1",Great Atlantic,,
13-10/18/1944,2100Z,24.6N,82.9W,105,3,30,949,1010,350,BFL3,---------------,,
13-10/19/1944,0700Z,27.2N,82.5W,90,2,35,962,1011,375,"DFL1,AFL1",---------------,,
1-6/24/1945,0800Z,28.6N,82.7W,70,1,---,-985,1011,200,AFL1,---------------,,
1-6/26/1945&,0100Z,34.7N,76.6W,60,TS,---,-987,1009,275,,---------------,,
5-8/27/1945,1200Z,28.2N,96.7W,100,3,10,963,1010,150,"BTX3,ATX1,CTX1",---------------,,
9-9/15/1945,1930Z,25.3N,80.3W,115,4,10,949,125,125,"CFL4,BFL2,DFL1",---------------,,
9-9/15/1945,2000Z,25.4N,80.4W,115,4,10,949,1011,125,"CFL4,BFL2,DFL1",---------------,,
1-8/18/1983,0700Z,29.1N,95.1W,100,3,---,962,----,---,CTX3,Alicia,,
5-9/13/1984%,0700Z,33.9N,78.0W,95,2,---,979,----,---,NC2,Diana,,
2-7/25/1985,0300Z,32.2N,80.5W,65,1,---,1003,----,---,SC1,Bob,,
4-8/15/1985,1630Z,29.6N,92.7W,80,1,---,987,----,---,LA1,Danny,,
5-9/2/1985,1300Z,30.4N,89.2W,100,3,---,959,----,---,"AL3,MS3,AFL3",Elena,,
7-9/27/1985,0530Z,35.2N,75.6W,90,2,---,942,----,---,NC3,Gloria,,
7-9/27/1985,1600Z,40.6N,73.3W,75,1,---,961,----,---,"NY3,CT2,NH2,ME1",Gloria,,
10-10/29/1985%,1100Z,29.5N,91.4W,75,1,---,971,----,---,LA1,Juan,,
11-11/21/1985,2230Z,30.0N,85.4W,85,2,---,967,----,---,"AFL2,IGA1",Kate,,
2-6/26/1986,0900Z,29.5N,94.0W,75,1,---,990,----,---,CTX1,Bonnie,,
3-8/17/1986,1400Z,34.7N,76.5W,65,1,---,990,----,---,NC1,Charley,,
7-10/12/1987,2100Z,25.1N,80.5W,65,1,---,993,----,---,BFL,Floyd,,
7-9/9/1988,2300Z,28.5N,89.3W,70,1,---,984,----,---,LA1,Florence,,
3-8/1/1989,1300Z,29.6N,94.4W,70,1,---,986,----,---,CTX1,Chantal,,
8-9/22/1989,0400Z,32.8N,79.8W,120,4,---,934,----,---,"SC4,INC1",Hugo,,
10-10/16/1989,0030Z,29.2N,95.0W,75,1,---,983,----,---,CTX1,Jerry,,
2-8/19/1991,1720Z,41.2N,71.6W,90,2,---,962,----,---,"RI2,MA2,NY2,CT2",Bob,,
2-8/24/1992,0905Z,25.5N,80.3W,145,5,---,922,----,---,"CFL5,BFL4",Andrew,,
2-8/26/1992,0830Z,29.6N,91.5W,100,3,---,956,----,---,LA3,Andrew,,
5-8/31/1993*,2100Z,35.2N,75.1W,100,3,---,961,----,---,NC3,Emily,,
5-8/2/1995,0615Z,27.7N,80.3W,75,1,---,984,----,---,CFL1,Erin,,
5-8/3/1995%,1330Z,30.0N,86.8W,85,2,---,---,----,---,AFL2,Erin,,
5-8/3/1995,1600Z,30.3N,87.2W,75,1,---,973,----,---,AFL1,Erin,,
15-10/4/1995,2200Z,30.3N,87.1W,100,3,---,942,----,---,"AFL3,IAL1",Opal,,
2-7/12/1996,2000Z,34.3N,77.8W,90,2,---,974,----,---,NC2,Betha,,
6-9/6/1996,0030Z,33.9N,78.0W,100,3,---,954,----,---,NC3,Fran,,
5-7/18/1997,0900Z,29.3N,89.7W,65,1,---,989,----,---,LA1,Danny,,
5-7/19/1997,1000Z,30.2N,88.1W,70,1,---,984,----,---,LA1,Danny,,
5-7/19/1997,1800Z,30.4N,87.9W,65,1,---,986,----,---,AL1,Danny,,
2-8/27/1998,0400Z,34.4N,77.7W,95,2,---,964,----,---,NC2,Bonnie,,
5-9/3/1998,0600Z,30.1N,85.7W,70,1,---,987,----,---,AFL1,Earl,,
7-9/25/1998,1530Z,24.5N,81.8W,90,2,---,981,----,---,BFL2,Georges,,
7-9/28/1998,1130Z,30.4N,88.9W,90,2,---,964,----,---,MS2,Georges,,
2-8/23/1999,0000Z,26.9N,97.4W,100,3,---,951,----,---,ATX3,Bret,,
6-9/16/1999,0630Z,33.8N,78.0W,90,2,---,956,----,---,NC2,Floyd,,
9-10/15/1999,1300Z,24.6N,81.6W,65,1,---,987,----,---,BFL1,Irene,,
9-10/15/1999,2000Z,25.3N,81.1W,70,1,---,987,----,---,BFL1,Irene,,
9-10/18/1999*,0600Z,34.8N,75.2W,95,2,---,964,----,---,NC2,Irene,,
12-10/3/2002,1300Z,29.5N,92.2W,80,1,---,963,----,---,LA1,Lili,,
3-7/15/2003,1530Z,28.3N,96.2W,80,1,---,979,----,---,BTX1,Claudette,,
9-9/18/2003,1700Z,34.9N,76.2W,90,2,---,957,----,---,NC2,Isabel,,
1-8/3/2004*,1700Z,35.1N,75.4W,70,1,---,972,----,---,NC1,Alex,,
3-8/13/2004,1945Z,26.6N,82.2W,130,4,---,941,----,---,BFL4,Charley,,
3-8/13/2004,2045Z,26.9N,82.1W,125,4,---,942,----,---,"BFL4,CFL1,DFL1",Charley,,
3-8/14/2004,1400Z,33.0N,79.4W,70,1,---,992,----,---,SC1,Charley,,
3-8/14/2004,1600Z,33.8N,78.7W,65,1,---,997,----,---,SC1,Charley,,
6-9/5/2004,0430Z,27.2N,80.2W,90,2,---,960,----,---,"CFL2,BFL1",Frances,,
7-8/29/2004,1400Z,33.0N,79.6W,65,1,---,985,----,---,SC1,Gaston,,
9-9/16/2004,0650Z,30.2N,87.9W,105,3,---,946,----,---,"AL3,AFL3",Ivan,,
10-9/26/2004,0400Z,27.2N,80.2W,105,3,---,950,----,---,"CFL3,BFL1,AFL1",Jeanne,,
3-7/6/2005,0300Z,29.2N,90.1W,65,1,---,991,----,---,LA1,Cindy,,
4-7/10/2005,1930Z,30.4N,87.1W,105,3,---,946,----,---,"AFL3,IAL1",Dennis,,
11-8/25/2005,2230Z,26.0N,80.1W,70,1,---,984,----,---,"CFL1,BFL1",Katrina,,
11-8/29/2005,1110Z,29.3N,89.6W,110,3,---,920,----,---,LA3,Katrina,,
11-8/29/2005,1445Z,30.2N,89.6W,105,3,---,928,----,---,"LA3,MS3,AL1",Katrina,,
15-9/15/2005*,0600Z,34.5N,76.3W,65,1,---,982,----,---,NC1,Ophelia,,
17-9/24/2005,0740Z,29.7N,93.7W,100,3,---,937,----,---,"LA3,CTX2",Rita,,
21-10/24/2005,1030Z,25.9N,81.7W,105,3,---,950,----,---,"BFL3,CFL2",Wilma,,
8-9/13/2007,0700Z,29.6N,94.3W,80,1,---,985,----,---,"CTX1,LA1",Humberto,,
4-7/23/2008,1820Z,26.4N,97.2W,75,1,---,967,----,---,ATX1,Dolly,,
4-7/23/2008,2000Z,26.4N,97.4W,70,1,---,967,----,---,ATX1,Dolly,,
7-9/1/2008,1500Z,29.2N,90.7W,90,2,---,954,----,---,LA2,Gustav,,
9-9/13/2008,0700Z,29.3N,94.7W,95,2,---,950,----,---,"CTX2,LA1",Ike,,
9-8/27/2011,1200Z,34.7N,76.6W,75,1,---,952,----,---,NC1,Irene,,
9-8/29/2012,0000Z,28.9N,89.4W,70,1,---,967,----,---,LA1,Issac,,
9-8/29/2012,0800Z,29.2N,90.2W,70,1,---,966,----,---,LA1,Isaac,,
18-10/29/2012%,2035Z,38.7N,73.9W,65,1,---,942,----,---,NY1,Sandy,,