Country Name,Country Code,2015,2018
Aruba,ABW,104341,105845
Afghanistan,AFG,34413603,37172386
Angola,AGO,27884381,30809762
Albania,ALB,2880703,2866376
Andorra,AND,78011,77006
Arab World,ARB,396028278,419790588
United Arab Emirates,ARE,9262900,9630959
Argentina,ARG,43131966,44494502
Armenia,ARM,2925553,2951776
American Samoa,ASM,55812,55465
Antigua and Barbuda,ATG,93566,96286
Australia,AUS,23815995,24982688
Austria,AUT,8642699,8840521
Azerbaijan,AZE,9649341,9939800
Burundi,BDI,10160030,11175378
Belgium,BEL,11274196,11433256
Benin,BEN,10575952,11485048
Burkina Faso,BFA,18110624,19751535
Bangladesh,BGD,156256276,161356039
Bulgaria,BGR,7177991,7025037
Bahrain,BHR,1371851,1569439
"Bahamas, The",BHS,374206,385640
Bosnia and Herzegovina,BIH,3429361,3323929
Belarus,BLR,9489616,9483499
Belize,BLZ,360933,383071
Bermuda,BMU,65239,63973
Bolivia,BOL,10869730,11353142
Brazil,BRA,204471769,209469333
Barbados,BRB,285324,286641
Brunei Darussalam,BRN,414907,428962
Bhutan,BTN,727876,754394
Botswana,BWA,2120716,2254126
Central African Republic,CAF,4493170,4666377
Canada,CAN,35702908,37057765
Central Europe and the Baltics,CEB,103257751,102511922
Switzerland,CHE,8282396,8513227
Channel Islands,CHI,165385,170499
Chile,CHL,17969353,18729160
China,CHN,1371220000,1392730000
Cote d'Ivoire,CIV,23226143,25069229
Cameroon,CMR,23298368,25216237
"Congo, Dem. Rep.",COD,76244544,84068091
"Congo, Rep.",COG,4856095,5244363
Colombia,COL,47520667,49648685
Comoros,COM,777424,832322
Cabo Verde,CPV,524743,543767
Costa Rica,CRI,4847804,4999441
Caribbean small states,CSS,7222212,7358965
Cuba,CUB,11324781,11338138
Curacao,CUW,157980,159800
Cayman Islands,CYM,61724,64174
Cyprus,CYP,1160985,1189265
Czech Republic,CZE,10546059,10629928
Germany,DEU,81686611,82905782
Djibouti,DJI,913993,958920
Dominica,DMA,71183,71625
Denmark,DNK,5683483,5793636
Dominican Republic,DOM,10281680,10627165
Algeria,DZA,39728025,42228429
East Asia & Pacific (excluding high income),EAP,2038202511,2081651801
Early-demographic dividend,EAR,3122841922,3249140605
East Asia & Pacific,EAS,2282855831,2328220870
Europe & Central Asia (excluding high income),ECA,410844329,417797257
Europe & Central Asia,ECS,907498192,918793590
Ecuador,ECU,16212020,17084357
"Egypt, Arab Rep.",EGY,92442547,98423595
Euro area,EMU,339533474,341783171
Eritrea,ERI,,
Spain,ESP,46444832,46796540
Estonia,EST,1315407,1321977
Ethiopia,ETH,100835458,109224559
European Union,EUU,444543759,446786293
Fragile and conflict affected situations,FCS,696655368,743958386
Finland,FIN,5479531,5515525
Fiji,FJI,868627,883483
France,FRA,66548272,66977107
Faroe Islands,FRO,48051,48497
"Micronesia, Fed. Sts.",FSM,108895,112640
Gabon,GAB,1947686,2119275
United Kingdom,GBR,65116219,66460344
Georgia,GEO,3725276,3726549
Ghana,GHA,27849205,29767108
Gibraltar,GIB,33736,33718
Guinea,GIN,11432088,12414318
"Gambia, The",GMB,2085860,2280102
Guinea-Bissau,GNB,1737202,1874309
Equatorial Guinea,GNQ,1168568,1308974
Greece,GRC,10820883,10731726
Grenada,GRD,109599,111454
Greenland,GRL,56114,56025
Guatemala,GTM,16252429,17247807
Guam,GUM,161853,165768
Guyana,GUY,767432,779004
High income,HIC,1191326855,1210312147
"Hong Kong SAR, China",HKG,7291300,7451000
Honduras,HND,9112916,9587522
Heavily indebted poor countries (HIPC),HPC,718128416,780234406
Croatia,HRV,4203604,4087843
Haiti,HTI,10695542,11123176
Hungary,HUN,9843028,9775564
IBRD only,IBD,4643767826,4772284113
IDA & IBRD total,IBT,6177552865,6412522234
IDA total,IDA,1533785039,1640238121
IDA blend,IDB,519429790,555830605
Indonesia,IDN,258383256,267663435
IDA only,IDX,1014355249,1084407516
Isle of Man,IMN,83234,84077
India,IND,1310152403,1352617328
Not classified,INX,,
Ireland,IRL,4701957,4867309
"Iran, Islamic Rep.",IRN,78492215,81800269
Iraq,IRQ,35572261,38433600
Iceland,ISL,330815,352721
Israel,ISR,8380100,8882800
Italy,ITA,60730582,60421760
Jamaica,JAM,2891021,2934855
Jordan,JOR,9266575,9956011
Japan,JPN,127141000,126529100
Kazakhstan,KAZ,17542806,18272430
Kenya,KEN,47878336,51393010
Kyrgyz Republic,KGZ,5956900,6322800
Cambodia,KHM,15521436,16249798
Kiribati,KIR,110930,115847
St. Kitts and Nevis,KNA,51203,52441
"Korea, Rep.",KOR,51014947,51606633
Kuwait,KWT,3835591,4137309
Latin America & Caribbean (excluding high income),LAC,591416820,609013934
Lao PDR,LAO,6741164,7061507
Lebanon,LBN,6532678,6848925
Liberia,LBR,4472230,4818977
Libya,LBY,6418315,6678567
St. Lucia,LCA,179126,181889
Latin America & Caribbean,LCN,622986033,641357515
Least developed countries: UN classification,LDC,941131317,1009662578
Low income,LIC,653405207,705417321
Liechtenstein,LIE,37470,37910
Sri Lanka,LKA,20970000,21670000
Lower middle income,LMC,2898058449,3022905169
Low & middle income,LMY,6149221337,6383958209
Lesotho,LSO,2059021,2108132
Late-demographic dividend,LTE,2248128427,2288665963
Lithuania,LTU,2904910,2801543
Luxembourg,LUX,569604,607950
Latvia,LVA,1977527,1927174
"Macao SAR, China",MAC,602085,631636
St. Martin (French part),MAF,35858,37264
Morocco,MAR,34663603,36029138
Monaco,MCO,37718,38682
Moldova,MDA,2834530,2706049
Madagascar,MDG,24234088,26262368
Maldives,MDV,454915,515696
Middle East & North Africa,MEA,425821770,448912859
Mexico,MEX,121858258,126190788
Marshall Islands,MHL,57439,58413
Middle income,MIC,5495816130,5678540888
North Macedonia,MKD,2079328,2082958
Mali,MLI,17438778,19077690
Malta,MLT,445053,484630
Myanmar,MMR,52680726,53708395
Middle East & North Africa (excluding high income),MNA,363975550,382896715
Montenegro,MNE,622159,622227
Mongolia,MNG,2998439,3170208
Northern Mariana Islands,MNP,55780,56882
Mozambique,MOZ,27042002,29495962
Mauritania,MRT,4046301,4403319
Mauritius,MUS,1262605,1265303
Malawi,MWI,16745303,18143315
Malaysia,MYS,30270962,31528585
North America,NAC,356510820,364290258
Namibia,NAM,2314904,2448255
New Caledonia,NCL,272400,284060
Niger,NER,20001663,22442948
Nigeria,NGA,181137448,195874740
Nicaragua,NIC,6223240,6465513
Netherlands,NLD,16939923,17231624
Norway,NOR,5188607,5311916
Nepal,NPL,27015031,28087871
Nauru,NRU,12475,12704
New Zealand,NZL,4595700,4841000
OECD members,OED,1280466626,1303529456
Oman,OMN,4267348,4829483
Other small states,OSS,28948869,30758989
Pakistan,PAK,199426964,212215030
Panama,PAN,3968487,4176873
Peru,PER,30470734,31989256
Philippines,PHL,102113212,106651922
Palau,PLW,17665,17907
Papua New Guinea,PNG,8107775,8606316
Poland,POL,37986412,37974750
Pre-demographic dividend,PRE,845759344,919485393
Puerto Rico,PRI,3473166,3195153
"Korea, Dem. Peopleâ€™s Rep.",PRK,25183833,25549819
Portugal,PRT,10358076,10283822
Paraguay,PRY,6688746,6956071
West Bank and Gaza,PSE,4270092,4569087
Pacific island small states,PSS,2355672,2457367
Post-demographic dividend,PST,1097025299,1109997273
French Polynesia,PYF,273124,277679
Qatar,QAT,2565710,2781677
Romania,ROU,19815616,19466145
Russian Federation,RUS,144096870,144478050
Rwanda,RWA,11369071,12301939
South Asia,SAS,1749417068,1814388744
Saudi Arabia,SAU,31717667,33699947
Sudan,SDN,38902950,41801533
Senegal,SEN,14578459,15854360
Singapore,SGP,5535002,5638676
Solomon Islands,SLB,603118,652858
Sierra Leone,SLE,7171914,7650154
El Salvador,SLV,6325124,6420744
San Marino,SMR,33272,33785
Somalia,SOM,13797201,15008154
Serbia,SRB,7095383,6982604
Sub-Saharan Africa (excluding high income),SSA,995365059,1078209758
South Sudan,SSD,10715658,10975920
Sub-Saharan Africa,SSF,995458478,1078306520
Small states,SST,38526753,40575321
Sao Tome and Principe,STP,199432,211028
Suriname,SUR,559143,575991
Slovak Republic,SVK,5423801,5446771
Slovenia,SVN,2063531,2073894
Sweden,SWE,9799186,10175214
Eswatini,SWZ,1104044,1136191
Sint Maarten (Dutch part),SXM,38825,40654
Seychelles,SYC,93419,96762
Syrian Arab Republic,SYR,17997408,16906283
Turks and Caicos Islands,TCA,35981,37665
Chad,TCD,14110975,15477751
East Asia & Pacific (IDA & IBRD countries),TEA,2012980531,2056064424
Europe & Central Asia (IDA & IBRD countries),TEC,453034345,459865205
Togo,TGO,7323158,7889094
Thailand,THA,68714511,69428524
Tajikistan,TJK,8454028,9100837
Turkmenistan,TKM,5565287,5850908
Latin America & the Caribbean (IDA & IBRD countries),TLA,606956985,625569713
Timor-Leste,TLS,1196302,1267972
Middle East & North Africa (IDA & IBRD countries),TMN,359705458,378327628
Tonga,TON,100781,103197
South Asia (IDA & IBRD),TSA,1749417068,1814388744
Sub-Saharan Africa (IDA & IBRD countries),TSS,995458478,1078306520
Trinidad and Tobago,TTO,1370328,1389858
Tunisia,TUN,11179949,11565204
Turkey,TUR,78529409,82319724
Tuvalu,TUV,11099,11508
Tanzania,TZA,51482633,56318348
Uganda,UGA,38225453,42723139
Ukraine,UKR,45154029,44622516
Upper middle income,UMC,2597757681,2655635719
Uruguay,URY,3412009,3449299
United States,USA,320635163,326687501
Uzbekistan,UZB,31298900,32955400
St. Vincent and the Grenadines,VCT,109148,110210
"Venezuela, RB",VEN,30081829,28870195
British Virgin Islands,VGB,29152,29802
Virgin Islands (U.S.),VIR,107710,106977
Vietnam,VNM,92677076,95540395
Vanuatu,VUT,271130,292680
World,WLD,7340548192,7594270356
Samoa,WSM,193513,196130
Kosovo,XKX,1801800,1845300
"Yemen, Rep.",YEM,26497889,28498687
South Africa,ZAF,55386367,57779622
Zambia,ZMB,15879361,17351822
Zimbabwe,ZWE,13814629,14439018